estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa
ES,4669901,966305,4,16,3,CABL951
MG,4321500,996727,0,4,4,FOO456
AP,4673700,860882,2,14,1,CABL951
PB,3511501,611884,0,18,1,XPTO123
PR,4221903,248383,4,5,3,FOO456
MG,4322302,135777,2,16,3,FOO456
SE,2731700,76224,0,1,1,CABL951
RO,4322302,876585,0,9,1,JJF753
RN,4221902,766058,0,1,3,CABL951
SC,3329599,946403,0,4,4,MEL789
DF,4321500,738953,0,12,2,FOO456
SP,4221902,746541,0,19,3,JJF753
DF,2731700,363339,3,21,1,FOO456
RS,7112000,250088,0,5,4,JJF753
GO,4322303,855193,1,13,4,XPTO123
RN,3321000,163360,2,19,3,FOO456
CE,3511501,58124,0,3,2,CABL951
AL,3321000,479004,0,9,2,XPTO123
ES,4673700,81202,1,14,3,JJF753
PI,2821602,667273,2,4,2,FOO456
PI,4322303,236016,1,13,1,JJF753
AL,4742300,474597,0,6,3,CABL951
RR,4321500,515712,0,18,4,MEL789
CE,4321500,695145,0,15,3,MEL789
RN,3329599,663014,0,7,4,JJF753
MS,4322302,921958,1,19,2,MEL789
MT,4322301,551598,0,19,2,FOO456
AM,3511501,526019,4,7,3,FOO456
AC,3321000,185344,0,18,2,CABL951
RR,4221902,253729,0,18,4,JJF753
SE,4669999,780738,3,10,4,MEL789
PB,2821602,86221,0,20,1,MEL789
CE,4321500,748551,0,2,3,XPTO123
RS,2821602,29892,3,20,3,FOO456
PE,4321500,281813,1,4,3,MEL789
SE,2731700,895982,0,17,1,XPTO123
GO,3511502,363762,0,19,2,XPTO123
MS,3511501,135787,0,12,3,JJF753
AC,3321000,346861,0,11,1,CABL951
RR,4742300,256297,0,20,3,XPTO123
PR,4221903,749402,0,20,1,MEL789
AP,2731700,718102,0,17,2,CABL951
PE,2821602,761184,4,3,3,XPTO123
RO,3511501,902537,0,9,1,JJF753
BA,2731700,146972,0,16,1,XPTO123
AP,3511501,704858,3,14,1,XPTO123
PB,4669999,81748,0,16,4,XPTO123
SE,4669999,446306,0,13,4,JJF753
SE,4321500,612654,3,21,3,XPTO123
MT,2731700,811130,2,20,1,JJF753
AP,4321500,508878,4,21,4,XPTO123
SC,3511500,679405,0,15,3,CABL951
ES,3313901,542635,0,9,3,CABL951
RS,2821601,802125,0,9,4,FOO456
CE,4754703,631951,2,6,1,MEL789
GO,4321500,399997,0,18,2,MEL789
SP,3321000,827055,0,2,4,XPTO123
AC,4742300,646668,0,12,3,CABL951
PB,4322303,495557,2,10,2,XPTO123
GO,4669999,934613,3,10,1,FOO456
PE,3313901,400575,4,13,2,CABL951
GO,4322303,46088,0,13,3,XPTO123
RR,3321000,490432,1,18,2,CABL951
AM,2821602,669907,1,21,1,CABL951
AP,3329599,229111,4,14,4,FOO456
PE,3329599,247393,0,8,3,MEL789
RO,4673700,658175,0,7,2,FOO456
SE,4322301,72243,4,14,2,XPTO123
TO,4742300,936126,0,11,2,FOO456
PB,4669901,330472,0,4,4,CABL951
RO,2821601,143939,0,4,1,MEL789
SE,2731700,100659,0,16,3,MEL789
PR,2821601,790471,1,4,1,MEL789
CE,4221903,939247,0,13,2,CABL951
SE,4742300,81116,0,11,2,JJF753
AC,4669999,630991,0,13,4,JJF753
SP,2731700,221031,3,1,2,CABL951
PI,4221903,199126,0,11,3,XPTO123
RO,3511500,607145,0,6,1,CABL951
MT,4321500,379511,4,21,3,CABL951
PI,4322303,629086,0,6,2,FOO456
SP,2821601,888146,0,5,4,XPTO123
SC,7112000,84983,0,12,3,FOO456
SE,4322303,863316,0,4,3,JJF753
AL,4221903,50400,4,19,4,JJF753
MG,2731700,602475,0,7,4,FOO456
AM,2821601,50715,0,21,2,FOO456
AM,2821602,60833,4,13,3,MEL789
ES,4669901,264106,0,15,4,MEL789
PE,2821601,631297,0,14,4,CABL951
AP,4754703,726861,0,17,3,FOO456
MS,4321500,959003,0,15,1,XPTO123
RR,3313901,802863,0,18,3,FOO456
AC,4321500,69244,3,8,4,FOO456
AM,4221902,997847,3,8,3,MEL789
SE,4221903,429266,3,16,1,XPTO123
SP,4221903,234860,0,11,3,JJF753
RS,4322303,400203,0,8,3,FOO456
RS,7112000,531558,3,21,1,CABL951
MT,4669901,690129,0,7,1,JJF753
TO,2731700,65918,0,8,4,XPTO123
SP,4669901,777356,0,18,1,JJF753
PA,3511501,314496,3,21,2,MEL789
MS,3511501,390193,4,11,3,FOO456
GO,2821601,602185,1,13,4,JJF753
GO,4669901,412784,1,9,3,JJF753
RS,4669999,25579,2,20,2,FOO456
PI,4221903,314240,2,15,4,JJF753
MA,3329599,389010,0,1,3,CABL951
MA,3511502,129757,0,18,1,MEL789
AC,7112000,284877,0,16,3,JJF753
SP,3511502,94379,0,4,1,MEL789
GO,4322303,913764,0,20,4,JJF753
AM,3329599,19753,3,6,2,XPTO123
RS,4742300,928958,0,15,2,CABL951
PI,2821602,773249,3,19,4,CABL951
AM,4669999,975686,1,18,4,FOO456
PE,4221902,311132,0,16,3,XPTO123
AC,3511501,690583,1,2,3,FOO456
AL,4322302,436170,0,19,1,FOO456
SP,2821602,24367,3,8,4,XPTO123
AC,4669999,787710,4,7,1,MEL789
PI,4322303,379758,0,9,2,XPTO123
CE,3511502,196185,0,17,1,CABL951
PI,4322301,374163,0,20,1,MEL789
SC,4221902,874718,0,2,4,XPTO123
SE,3511500,439756,2,3,2,FOO456
PI,4754703,783731,0,12,4,CABL951
RJ,4742300,705068,0,11,2,CABL951
DF,3511501,483116,3,9,3,MEL789
AP,4322302,371917,0,18,3,XPTO123
PA,3511501,89511,0,9,2,CABL951
PA,2821601,596079,0,9,2,FOO456
PR,3329599,630596,4,14,2,FOO456
MA,4669999,527541,4,2,2,JJF753
PE,3321000,708674,3,18,2,FOO456
PB,3321000,231798,3,19,4,FOO456
CE,3329599,192014,0,1,4,JJF753
TO,3511501,807350,0,10,2,FOO456
MT,3313901,807921,0,6,3,MEL789
PI,7112000,984812,1,18,4,MEL789
RR,4322303,883386,0,16,1,CABL951
AP,3329599,757262,1,3,4,XPTO123
AM,4669999,365567,2,18,2,FOO456
RS,4742300,246123,0,5,1,MEL789
MG,3321000,10449,0,7,4,FOO456
TO,4742300,811590,3,5,2,JJF753
RS,4322303,748292,0,20,2,CABL951
SE,3511501,408480,0,8,1,FOO456
SC,4669999,587902,3,7,1,JJF753
GO,4742300,601806,4,2,1,MEL789
RN,4221903,725177,0,11,4,JJF753
SP,4321500,940930,0,13,1,FOO456
GO,4742300,275427,1,6,3,CABL951
AM,4321500,989030,0,13,3,XPTO123
PE,2821602,972838,4,6,4,JJF753
TO,3511500,686780,0,20,3,MEL789
MA,7112000,63052,4,13,2,JJF753
PB,2821601,843248,4,1,1,JJF753
PR,4322302,425151,0,15,1,FOO456
RN,3511501,455965,0,21,2,FOO456
CE,4669999,125232,2,6,2,XPTO123
MG,2731700,245285,3,1,4,JJF753
MA,7112000,193558,0,2,1,XPTO123
PB,3511501,846843,0,11,2,XPTO123
RS,4742300,980771,0,14,3,XPTO123
RO,3329599,243150,0,19,3,JJF753
SC,3329599,611889,0,11,3,FOO456
SP,4322303,611696,3,1,3,XPTO123
MT,7112000,107431,0,1,1,JJF753
SP,4321500,71305,1,14,2,MEL789
ES,4221902,438522,0,4,2,XPTO123
MT,3511502,554610,0,5,3,FOO456
GO,4221902,439131,1,15,2,CABL951
PB,2821601,660439,0,14,3,FOO456
AP,3511501,952172,0,10,4,FOO456
PA,4754703,104677,0,13,1,XPTO123
TO,4754703,374464,2,2,1,XPTO123
GO,4322303,430857,3,21,2,MEL789
SE,3329599,983701,4,7,1,JJF753
BA,3329599,891497,0,6,1,MEL789
MA,3511501,242744,2,15,2,CABL951
SE,4321500,280433,0,12,4,FOO456
MS,3511501,37207,0,17,3,JJF753
PI,4669901,686482,1,3,1,MEL789
AL,4322303,27008,0,9,1,FOO456
TO,3321000,263420,4,20,4,JJF753
SE,4669901,811061,0,11,2,CABL951
MS,4322301,96787,0,10,1,MEL789
RJ,4669901,130877,0,7,2,CABL951
RO,3511501,689830,0,11,2,CABL951
MA,4322303,156500,0,11,1,CABL951
MA,4742300,664351,3,4,1,FOO456
MT,4221902,656850,2,14,3,XPTO123
PB,4221903,77505,0,20,1,JJF753
SP,2821601,325661,0,10,1,MEL789
SC,4742300,461626,0,9,2,MEL789
PR,4221902,636732,0,15,1,FOO456
AP,3511500,524496,0,3,4,FOO456
AC,4669999,50328,2,5,1,FOO456
BA,4742300,191436,4,20,4,XPTO123
SE,4669901,359030,2,2,1,MEL789
PI,3511501,747888,0,17,2,FOO456
RR,4673700,726045,0,6,4,XPTO123
AC,4669999,173566,0,13,1,JJF753
RR,7112000,696463,0,19,4,FOO456
PA,3321000,823023,0,18,1,CABL951
SE,3511501,363024,1,16,2,XPTO123
AP,3329599,836955,0,7,4,XPTO123
PI,4221902,596096,0,18,1,XPTO123
RS,4673700,804457,4,12,3,MEL789
BA,3511501,658476,4,3,4,XPTO123
MA,3511500,888219,0,2,2,XPTO123
RR,4321500,657281,0,17,3,XPTO123
MT,2821601,653952,0,16,2,CABL951
MG,4221903,122999,0,8,4,CABL951
ES,2731700,486757,4,10,4,JJF753
BA,2821601,82399,1,6,2,XPTO123
GO,2821602,75210,0,3,4,XPTO123
PA,3321000,375185,0,20,2,MEL789
PA,4322301,908848,0,6,2,MEL789
RS,4321500,975428,3,6,3,XPTO123
RJ,4742300,433940,3,10,2,FOO456
MS,4322303,629239,0,21,4,MEL789
RO,4754703,570944,1,4,4,XPTO123
GO,4321500,947621,3,4,3,FOO456
RO,4221902,992790,4,6,4,MEL789
GO,4669999,487557,4,18,2,JJF753
TO,4669999,999517,2,18,4,XPTO123
RN,4754703,983012,0,4,1,FOO456
PE,4673700,441038,0,18,1,CABL951
RS,4321500,413975,3,18,2,JJF753
TO,4669999,111436,1,10,1,CABL951
PR,7112000,807413,4,1,4,MEL789
RN,4321500,228637,2,8,1,MEL789
AP,4322303,400426,2,21,4,MEL789
RJ,3511500,415596,0,11,4,FOO456
PR,4321500,516703,2,2,1,JJF753
RN,2821601,865539,0,20,4,CABL951
PE,3329599,179305,1,14,4,JJF753
RN,2821601,68172,3,15,4,FOO456
RR,3511502,167665,0,9,2,FOO456
SP,2821602,459529,3,5,2,FOO456
PI,3511501,92921,2,19,4,XPTO123
MT,4221902,138088,0,15,3,FOO456
RO,4754703,373127,0,3,2,MEL789
SP,4322302,379914,3,15,3,FOO456
RR,4321500,369213,4,13,4,JJF753
RN,3511500,833189,0,16,4,CABL951
PE,4321500,764522,0,1,1,FOO456
CE,3511501,280385,0,11,2,XPTO123
RS,4322302,30562,0,4,1,MEL789
MA,3511502,83336,0,8,1,JJF753
RS,3321000,999668,0,4,4,FOO456
PR,3511501,823729,1,16,4,JJF753
RR,4321500,496791,0,5,4,CABL951
PA,2821601,222998,0,5,2,FOO456
PB,4754703,633577,0,17,1,CABL951
MT,2821601,973782,3,16,3,CABL951
MA,4322301,434171,0,9,2,XPTO123
AM,3511500,850668,0,5,1,XPTO123
RS,3511502,410160,0,12,2,FOO456
MG,7112000,796933,4,12,1,CABL951
PA,3511501,639379,0,7,4,CABL951
PI,2821601,976002,0,3,3,JJF753
AC,4673700,948507,4,13,1,CABL951
TO,2821601,856754,2,17,2,JJF753
PR,4669999,525807,0,21,2,FOO456
MT,2821602,965635,4,4,1,XPTO123
AM,7112000,866319,0,15,2,XPTO123
RJ,3511502,175877,0,21,2,CABL951
SE,4221903,961805,0,7,4,FOO456
PE,4742300,167765,0,8,3,JJF753
AL,3511501,828155,0,10,3,XPTO123
SE,4321500,464873,0,13,1,XPTO123
AC,3511502,44172,0,12,3,FOO456
RJ,4322302,235615,0,2,1,MEL789
GO,4669901,405549,0,21,3,FOO456
AP,4669999,525760,0,20,3,MEL789
RR,4322301,920238,1,16,4,JJF753
RN,3511502,253669,0,11,4,JJF753
SE,2821602,517577,0,6,4,MEL789
RS,4742300,483026,0,9,3,JJF753
PA,3511501,691502,0,15,4,XPTO123
DF,2821602,466724,0,2,2,JJF753
RO,3511500,436127,0,20,3,FOO456
PA,3511500,449128,0,14,4,FOO456
RN,2731700,823323,0,18,2,MEL789
ES,3321000,273612,0,21,3,MEL789
MS,3511501,456839,0,19,3,MEL789
AP,4742300,582162,0,17,3,JJF753
SE,3329599,314899,2,7,2,JJF753
PA,3511501,244604,2,10,3,XPTO123
PA,2731700,129277,0,7,4,JJF753
DF,4322301,937906,4,14,3,FOO456
PE,4742300,426214,2,11,1,MEL789
CE,4673700,43621,0,1,4,MEL789
GO,4221903,507810,0,16,2,MEL789
SE,4221903,322950,0,11,2,CABL951
AL,4322303,77139,0,1,1,XPTO123
GO,2731700,625262,1,1,2,XPTO123
AL,4673700,533851,0,7,1,FOO456
PI,3511501,828097,0,3,2,MEL789
AM,4322301,682123,0,11,2,MEL789
PR,4669901,980872,0,4,1,MEL789
MA,2821601,285536,2,14,1,FOO456
SP,4321500,219623,0,1,2,MEL789
MT,3321000,194860,3,1,3,JJF753
PA,4669999,177388,3,10,1,MEL789
PE,4673700,992486,0,9,3,CABL951
SC,4221902,368165,2,14,2,JJF753
PA,2821602,846081,0,16,3,JJF753
PR,4322301,236306,0,3,4,JJF753
CE,2731700,531280,0,18,4,MEL789
RR,4669901,206387,0,2,2,FOO456
GO,3321000,887062,0,6,3,FOO456
SE,2821602,82769,0,19,3,MEL789
RJ,2821601,887314,0,19,3,JJF753
SP,2821602,912361,0,4,3,JJF753
PI,3511500,637076,0,7,3,CABL951
SC,3511502,624480,1,16,3,MEL789
AC,3511502,418810,4,12,1,CABL951
GO,4322302,308290,0,3,1,CABL951
ES,4221903,528862,0,2,4,MEL789
SE,4742300,90119,0,4,4,JJF753
AM,3511501,548355,0,19,1,JJF753
PB,2821601,265550,2,18,2,XPTO123
RR,4669901,957832,0,17,3,JJF753
MT,4669999,918285,0,17,3,MEL789
AM,2821602,153174,0,10,2,CABL951
MS,7112000,469014,4,8,3,MEL789
RN,3511500,904462,3,1,2,XPTO123
AL,3511501,273135,0,16,4,CABL951
GO,3313901,88760,4,21,4,JJF753
BA,3329599,134189,0,1,4,XPTO123
PI,4322303,994479,2,16,3,XPTO123
MG,4322301,194306,0,14,3,MEL789
SE,4669999,17462,1,1,1,XPTO123
RO,2821602,888756,3,10,3,JJF753
GO,4669999,736408,0,15,4,FOO456
PI,4322302,391967,0,4,3,JJF753
PB,4221902,557631,3,16,3,XPTO123
AM,3511501,492100,0,12,2,CABL951
MS,4322301,845098,0,6,3,FOO456
BA,4754703,353228,4,9,1,MEL789
MT,4673700,398341,3,11,1,FOO456
ES,4321500,466620,1,5,4,MEL789
AP,4669901,795565,0,15,4,FOO456
RJ,4321500,319646,0,2,2,FOO456
SC,2821602,98295,3,13,4,JJF753
TO,3511500,206528,2,2,1,MEL789
BA,4322303,727127,3,4,1,FOO456
CE,4322303,486632,1,21,4,FOO456
DF,4669901,284965,4,19,1,FOO456
MA,7112000,275727,4,12,1,JJF753
MS,4322301,916923,4,2,4,JJF753
AM,3511501,254565,0,10,4,MEL789
AM,4673700,177449,0,8,2,FOO456
AM,4322303,746743,0,10,4,FOO456
MS,4742300,815170,1,4,4,FOO456
RS,3321000,383706,0,3,3,MEL789
ES,4322302,118805,4,21,3,MEL789
SC,4322301,445858,0,8,4,XPTO123
PA,7112000,322403,0,7,2,FOO456
SP,4754703,419754,0,8,3,XPTO123
BA,2821601,283504,2,10,1,XPTO123
PB,4673700,702849,1,18,1,CABL951
PR,3321000,565887,4,3,4,CABL951
GO,4669999,701772,0,16,2,JJF753
PA,4322302,587098,0,10,2,XPTO123
SE,4321500,205427,0,16,2,CABL951
BA,2821601,444788,2,1,4,MEL789
RS,4754703,22812,0,17,1,MEL789
PI,4673700,504609,0,12,1,CABL951
MG,2821602,364596,2,6,4,MEL789
RN,4322302,882223,0,3,4,XPTO123
RS,4221902,138249,0,9,3,FOO456
SP,2821602,625184,2,2,2,CABL951
AC,2821601,108154,4,2,1,MEL789
RO,4322302,823877,0,19,2,MEL789
SC,3313901,840245,3,4,1,XPTO123
RR,3511501,156943,1,12,3,JJF753
PR,3313901,557913,0,10,2,FOO456
PB,2821602,176917,0,15,4,JJF753
RS,4754703,779770,0,9,1,XPTO123
MT,4322301,117057,3,7,4,FOO456
PR,4221902,590854,4,15,2,MEL789
GO,4321500,255061,0,16,3,JJF753
DF,4322301,959161,4,1,2,MEL789
SE,3321000,741859,0,11,2,JJF753
PE,3511501,449888,3,4,3,CABL951
AP,2821601,130410,0,20,3,MEL789
RN,3511502,862373,4,6,3,CABL951
CE,4321500,884146,1,17,3,JJF753
ES,2821601,40908,0,4,1,MEL789
RO,4322303,90212,0,13,4,MEL789
ES,3313901,526898,2,6,1,MEL789
MS,4673700,154748,4,20,4,JJF753
AL,2731700,417803,3,21,2,FOO456
RS,4754703,892687,0,3,3,XPTO123
BA,4754703,247543,3,13,3,FOO456
MS,7112000,420752,1,5,2,FOO456
MS,4669901,513629,0,12,4,XPTO123
RN,4742300,506616,3,4,3,XPTO123
BA,3321000,696698,1,12,4,MEL789
ES,2821601,981140,0,12,2,MEL789
SE,4221903,607551,0,14,2,CABL951
PE,2821601,145477,0,7,4,JJF753
SC,3511500,671193,4,12,2,FOO456
CE,4742300,918597,1,13,4,XPTO123
AL,2731700,946373,2,5,3,XPTO123
AC,4322303,51019,0,16,4,MEL789
PB,3321000,356571,0,9,2,MEL789
PB,2821602,270655,0,20,2,MEL789
GO,4669999,105937,4,21,4,CABL951
MS,4754703,994138,2,9,3,XPTO123
MA,7112000,649816,3,8,1,XPTO123
SC,4669999,966917,0,9,3,XPTO123
PR,4321500,928009,1,18,1,XPTO123
RJ,4742300,245891,0,21,3,MEL789
PI,4322301,191577,0,16,4,MEL789
SP,3511501,337975,0,18,1,CABL951
RS,2821602,998456,0,13,4,CABL951
CE,2821602,40904,0,15,3,CABL951
BA,3313901,784234,0,2,1,JJF753
DF,4321500,951488,0,20,2,CABL951
MT,3511501,381590,0,3,2,CABL951
RN,2821602,910381,1,19,4,XPTO123
DF,4673700,203458,0,18,1,CABL951
DF,3511501,282045,1,11,3,JJF753
BA,4221903,885567,0,9,3,FOO456
RN,4221902,241597,0,9,3,JJF753
CE,3511500,713666,0,19,2,FOO456
RR,3511501,72268,0,14,1,MEL789
RO,2821601,554148,1,11,3,CABL951
MT,2821602,829693,0,3,1,MEL789
AL,4742300,952845,4,4,4,MEL789
AL,4754703,705623,0,9,2,JJF753
RJ,4742300,233398,0,8,3,XPTO123
AL,3511500,278541,0,13,4,FOO456
PR,4669901,618393,0,11,3,CABL951
MS,4321500,315721,0,9,4,MEL789
SC,2731700,219115,3,5,3,XPTO123
RN,2821601,716601,3,2,2,XPTO123
MA,3511500,602378,0,17,3,FOO456
SC,7112000,630318,0,13,4,JJF753
RR,4673700,906862,0,12,2,FOO456
MA,4673700,566524,0,10,1,CABL951
RS,3321000,552122,2,17,1,JJF753
RJ,4221902,877880,4,3,1,JJF753
DF,4322301,681845,0,13,3,JJF753
RN,3511500,876155,0,20,2,FOO456
AM,4673700,431116,4,20,4,FOO456
SP,3321000,323176,0,17,1,JJF753
RJ,3321000,902401,0,20,2,JJF753
ES,2821602,635242,0,12,2,CABL951
TO,4673700,19126,4,3,3,MEL789
CE,7112000,388265,2,20,1,CABL951
CE,3329599,358870,0,5,1,CABL951
AM,4754703,724830,1,2,2,FOO456
RJ,4322303,427732,0,11,2,MEL789
PE,3511500,903074,3,14,2,FOO456
MA,4322301,73103,0,9,4,FOO456
DF,2821601,346573,0,6,4,FOO456
AC,4221903,742910,0,21,2,JJF753
GO,3511500,174894,0,20,1,JJF753
AM,4221902,52513,0,12,4,JJF753
SP,3511502,274014,0,7,2,XPTO123
RN,4221902,525389,0,12,3,MEL789
ES,3329599,353849,3,1,3,JJF753
AL,4321500,289375,0,1,2,CABL951
RO,4221902,131904,0,14,1,MEL789
MS,3329599,245337,4,7,4,JJF753
CE,3511502,864649,4,1,3,MEL789
SC,4742300,394181,0,10,4,CABL951
PB,4221902,965341,0,11,2,JJF753
PB,3511502,851513,0,11,1,JJF753
RO,3321000,273160,3,13,1,MEL789
AL,4321500,636098,0,4,2,JJF753
TO,4754703,359074,1,20,1,FOO456
BA,3511500,724215,4,4,3,MEL789
MS,4673700,667904,1,5,1,FOO456
RJ,3511501,804706,0,4,1,FOO456
MG,3511501,188775,1,21,3,FOO456
PB,3511500,545408,2,20,1,XPTO123
RO,4742300,120631,0,8,2,JJF753
RO,3511501,764115,0,16,3,JJF753
TO,3511501,551652,0,16,4,XPTO123
SC,3511501,735314,0,8,3,XPTO123
SP,4669999,743148,3,13,1,CABL951
PA,3511501,259994,3,9,1,CABL951
AM,4669999,39855,0,15,1,MEL789
AP,4322302,853396,4,14,3,CABL951
MS,4669901,791470,0,7,3,FOO456
RO,4669999,849055,0,9,1,MEL789
RR,3511502,659247,2,2,1,JJF753
MT,4221902,107230,0,13,3,JJF753
AP,3511502,639900,4,1,4,JJF753
MS,4754703,324905,0,20,2,CABL951
PR,4221902,787967,0,11,4,JJF753
PR,2821602,761673,4,17,3,MEL789
MT,3321000,423600,0,10,3,JJF753
RO,4321500,439280,2,6,1,FOO456
MA,2731700,997340,1,16,2,JJF753
SE,4322303,640623,0,7,2,CABL951
BA,3321000,261037,3,5,4,MEL789
MT,4673700,506872,0,2,4,FOO456
BA,4221902,793967,0,15,4,JJF753
AL,3511500,604239,4,12,4,FOO456
GO,3329599,868424,0,15,2,JJF753
RJ,3511500,205688,1,13,1,FOO456
SE,4754703,332667,0,19,4,JJF753
SE,4669901,890400,0,20,3,JJF753
RJ,4673700,326169,4,6,4,JJF753
ES,4221902,933215,0,20,1,MEL789
AM,3511501,319151,0,19,3,FOO456
PE,3329599,227461,0,18,3,CABL951
CE,4742300,362914,0,17,2,CABL951
MT,4322301,39852,0,8,1,XPTO123
RS,4742300,982146,2,10,1,MEL789
ES,2821602,527221,0,1,1,CABL951
MA,4321500,455209,2,15,3,CABL951
RR,2821602,376063,3,1,4,FOO456
RN,4321500,930754,0,6,3,MEL789
DF,4321500,757238,0,17,4,MEL789
SP,4669901,430671,0,13,1,XPTO123
SE,2731700,438847,0,18,3,JJF753
AL,4742300,962136,4,11,4,CABL951
PE,3321000,376600,0,8,2,CABL951
AP,3511502,411942,0,4,1,XPTO123
PR,2731700,337438,0,5,1,FOO456
AP,2821601,771112,0,16,1,JJF753
MT,3313901,920362,0,1,2,JJF753
PR,4221903,789002,0,17,2,MEL789
GO,3313901,547848,0,21,4,JJF753
AC,7112000,272965,0,7,4,MEL789
MT,4221902,829820,2,8,1,XPTO123
ES,4221902,127400,0,2,2,MEL789
PB,2821602,65288,3,16,3,XPTO123
SP,4321500,681269,0,13,3,CABL951
SC,4754703,661140,0,17,1,FOO456
MA,4221903,603001,0,8,4,JJF753
AC,4321500,494024,2,18,3,XPTO123
PR,2731700,291664,2,12,2,FOO456
SP,3329599,808370,0,2,1,CABL951
AM,3511501,82353,0,14,2,FOO456
PA,2821602,676255,2,16,1,FOO456
MA,3329599,190591,0,2,1,CABL951
TO,3321000,940117,2,12,4,JJF753
CE,4321500,798992,2,1,1,JJF753
SP,3511502,492146,0,20,3,XPTO123
PA,4669901,47109,4,1,2,CABL951
MT,3329599,788682,0,4,4,XPTO123
SC,3511501,166429,4,6,2,XPTO123
MG,3511500,122360,0,3,1,CABL951
BA,4669901,216206,4,7,1,XPTO123
AL,4221902,554373,0,5,2,XPTO123
AC,3329599,173098,0,17,4,MEL789
RS,4673700,50732,0,16,3,FOO456
MS,4669999,613535,3,15,4,JJF753
BA,4321500,546598,0,8,1,MEL789
RN,4322302,606136,4,13,3,JJF753
MT,2821601,937761,2,13,4,CABL951
GO,3313901,257306,0,10,3,JJF753
AC,3511502,88888,0,17,1,CABL951
PI,4754703,327353,1,18,1,JJF753
ES,4669999,959603,2,14,1,JJF753
RO,3511502,760699,0,4,3,JJF753
CE,2731700,243669,0,3,4,CABL951
CE,4322303,968992,0,11,4,CABL951
AM,7112000,402978,3,3,2,CABL951
BA,4322301,286212,0,6,2,XPTO123
RO,3511501,550063,0,15,1,MEL789
PA,3313901,60051,0,4,3,FOO456
PR,4742300,531459,0,4,4,XPTO123
PA,7112000,158509,1,6,4,CABL951
MG,4322303,787425,0,18,3,MEL789
ES,4322301,795045,4,13,3,CABL951
ES,4669901,78853,0,16,3,XPTO123
AM,4221902,459657,0,20,2,JJF753
SP,4742300,87508,0,6,1,CABL951
MT,4321500,746339,4,11,3,XPTO123
PE,4322302,19781,4,4,2,FOO456
AM,4754703,309309,4,2,4,XPTO123
RN,4221902,554765,0,3,4,MEL789
CE,3511501,616889,3,13,4,XPTO123
MA,4669901,31971,1,7,3,CABL951
CE,7112000,762245,0,1,3,FOO456
ES,4221903,154822,0,13,4,CABL951
SE,7112000,776525,0,20,4,JJF753
TO,3511501,476908,0,12,2,FOO456
CE,4673700,924633,0,13,2,FOO456
RN,3511501,529024,0,12,3,JJF753
RJ,4322301,546857,0,3,4,MEL789
SC,4669901,557925,0,10,2,JJF753
MG,4322303,748012,0,3,4,XPTO123
BA,4669901,113857,2,1,3,JJF753
ES,4669999,596844,0,1,4,CABL951
PB,3511502,116511,0,13,3,FOO456
AC,4669901,962507,3,8,1,XPTO123
PE,4221903,842380,0,17,4,XPTO123
AC,2821601,73578,1,11,1,XPTO123
CE,2821601,815303,0,10,2,CABL951
SP,4669901,614607,0,12,4,CABL951
BA,4322301,500375,0,12,1,CABL951
AM,4669999,211126,1,9,1,FOO456
PB,4669901,108155,2,1,4,FOO456
CE,4669999,169884,0,14,1,CABL951
AL,4669999,564651,1,2,3,MEL789
AC,2731700,199140,1,7,1,XPTO123
CE,4221903,87862,3,2,3,JJF753
RJ,4742300,639033,0,3,4,XPTO123
RJ,4322303,676697,1,7,1,XPTO123
PB,2731700,539769,3,15,3,CABL951
ES,3321000,188943,0,5,2,FOO456
RR,3511501,865588,0,17,2,FOO456
ES,2821602,103527,0,5,3,XPTO123
BA,3329599,978252,0,11,3,XPTO123
PR,4673700,770296,4,8,2,CABL951
PA,3511502,30749,0,9,4,FOO456
AL,4754703,398065,2,4,1,JJF753
RO,4321500,614660,0,8,2,CABL951
PE,4669999,979606,2,2,2,MEL789
RO,3511501,949396,3,11,1,CABL951
MS,4669901,191103,0,15,2,FOO456
SP,4221903,954881,3,8,4,MEL789
MA,4322302,274136,0,7,1,FOO456
SC,2731700,819064,0,8,4,XPTO123
AM,3313901,520492,0,20,1,XPTO123
PR,4673700,905581,1,6,3,JJF753
AC,4754703,240803,0,14,2,CABL951
MS,4322302,327564,0,2,3,JJF753
MS,4321500,735492,0,8,4,MEL789
RN,3511502,369914,0,5,2,MEL789
MS,2821601,364232,2,19,4,JJF753
RS,4322302,270417,0,5,3,CABL951
AM,2821602,893662,2,2,4,MEL789
AP,3329599,238760,0,6,2,MEL789
PE,4322301,389185,3,17,3,JJF753
MS,4322303,981685,0,13,4,JJF753
AP,4322301,71176,3,1,1,XPTO123
GO,4673700,102767,0,13,4,FOO456
AL,4669999,836673,0,5,3,MEL789
MA,4221903,478140,4,13,1,MEL789
DF,4754703,14093,0,17,2,XPTO123
RO,4669999,538709,0,11,1,JJF753
RN,4322303,926698,3,17,4,JJF753
RO,3511501,803847,4,7,3,XPTO123
PA,3329599,476570,3,21,2,CABL951
MG,4321500,203349,0,2,2,JJF753
SC,4221903,40639,0,12,4,FOO456
PE,2821601,723664,0,19,2,XPTO123
RN,4742300,348710,0,20,1,CABL951
PB,4221903,295958,1,19,1,MEL789
GO,2731700,651075,1,13,2,MEL789
MA,3313901,773639,0,18,2,FOO456
RR,3511500,86285,0,4,3,MEL789
